35	36	0.972222	5	58	0.0862069	3.99138	51.9149	0.0768832	6.73015
48	49	0.979592	5	58	0.0862069	3.55271	51.6985	0.0687197	7.25871
31	31	1	0	48	0	0	44.7487	0	6.86968
53	54	0.981481	2	52	0.0384615	3.00755	69.9996	0.0429652	7.06607
35	35	1	3	54	0.0555556	1.64271	45.5308	0.0360791	5.09258
38	40	0.95	3	54	0.0555556	0.955514	48.9511	0.0195198	5.97985
63	67	0.940298	5	58	0.0862069	7.17921	66.1076	0.108599	5.87235
53	63	0.84127	10	68	0.147059	12.5225	83.8941	0.149266	6.94107
39	44	0.886364	4	56	0.0714286	4.47247	59.4177	0.0752717	5.9903
43	50	0.86	7	62	0.112903	6.67313	60.7579	0.109831	7.07134
