49	1331	0.0368144	12780	13230	0.965986	12866.3	17203.3	0.747896	174.523
33	465	0.0709677	4334	4634	0.935261	4234.82	43776.6	0.096737	97.3555
7	18	0.388889	89	176	0.505682	97.0617	260.606	0.372446	11.4028
30	165	0.181818	1573	1808	0.870022	1489.43	3859.08	0.385955	67.7633
19	93	0.204301	789	970	0.813402	803.307	3245.86	0.247486	40.3888
20	132	0.151515	1052	1272	0.827044	1078.54	1599.57	0.674271	50.4374
14	51	0.27451	486	648	0.75	435.296	617.052	0.705445	26.1291
9	19	0.473684	196	308	0.636364	179.503	605.107	0.296647	21.9836
15	40	0.375	246	382	0.643979	238.128	373.469	0.637611	21.5138
10	34	0.294118	236	358	0.659218	199.094	522.17	0.381283	14.7612
