,added,Tru,Turnover,ident
46,0,0.1,0.35544271282300005,Non Sampled Ancestor Model
47,0,0.1,0.34876805029799995,Non Sampled Ancestor Model
48,0,0.1,0.356571338965,Non Sampled Ancestor Model
49,0,0.1,0.338898083376,Non Sampled Ancestor Model
0,0,0.1,0.262996574096,Non Sampled Ancestor Model
1,0,0.1,0.263228889841,Non Sampled Ancestor Model
2,0,0.1,0.264421549353,Non Sampled Ancestor Model
3,0,0.1,0.253902576362,Non Sampled Ancestor Model
4,0,0.1,0.266120911973,Non Sampled Ancestor Model
5,0,0.1,0.260934388771,Non Sampled Ancestor Model
6,0,0.1,0.259407727556,Non Sampled Ancestor Model
7,0,0.1,0.263228928283,Non Sampled Ancestor Model
8,0,0.1,0.262331495166,Non Sampled Ancestor Model
9,0,0.1,0.25789231522399997,Non Sampled Ancestor Model
10,0,0.1,0.270564239753,Non Sampled Ancestor Model
11,0,0.1,0.263028093607,Non Sampled Ancestor Model
12,0,0.1,0.269867158811,Non Sampled Ancestor Model
13,0,0.1,0.260983047615,Non Sampled Ancestor Model
14,0,0.1,0.262832517813,Non Sampled Ancestor Model
15,0,0.1,0.262453451991,Non Sampled Ancestor Model
16,0,0.1,0.260658220401,Non Sampled Ancestor Model
17,0,0.1,0.265361583481,Non Sampled Ancestor Model
18,0,0.1,0.260769766919,Non Sampled Ancestor Model
19,0,0.1,0.26859472196899997,Non Sampled Ancestor Model
20,0,0.1,0.254049194302,Non Sampled Ancestor Model
21,0,0.1,0.25903134963,Non Sampled Ancestor Model
22,0,0.1,0.25374171148,Non Sampled Ancestor Model
23,0,0.1,0.256128379177,Non Sampled Ancestor Model
24,0,0.1,0.268699885736,Non Sampled Ancestor Model
25,0,0.1,0.253447926277,Non Sampled Ancestor Model
26,0,0.1,0.269078054821,Non Sampled Ancestor Model
27,0,0.1,0.27211744632199997,Non Sampled Ancestor Model
28,0,0.1,0.268555718391,Non Sampled Ancestor Model
29,0,0.1,0.265019724109,Non Sampled Ancestor Model
30,0,0.1,0.266246819943,Non Sampled Ancestor Model
31,0,0.1,0.256596416971,Non Sampled Ancestor Model
32,0,0.1,0.267827489489,Non Sampled Ancestor Model
33,0,0.1,0.267001988807,Non Sampled Ancestor Model
34,0,0.1,0.262954791612,Non Sampled Ancestor Model
35,0,0.1,0.268317061044,Non Sampled Ancestor Model
36,0,0.1,0.255864434993,Non Sampled Ancestor Model
37,0,0.1,0.26627705278999997,Non Sampled Ancestor Model
38,0,0.1,0.26405291639199996,Non Sampled Ancestor Model
39,0,0.1,0.27414946009,Non Sampled Ancestor Model
40,0,0.1,0.26139713349800003,Non Sampled Ancestor Model
41,0,0.1,0.270885905362,Non Sampled Ancestor Model
42,0,0.1,0.261959093182,Non Sampled Ancestor Model
43,0,0.1,0.261312695422,Non Sampled Ancestor Model
44,0,0.1,0.256520662832,Non Sampled Ancestor Model
45,0,0.1,0.276311907432,Non Sampled Ancestor Model
46,0,0.1,0.270699191172,Non Sampled Ancestor Model
47,0,0.1,0.26319762011500003,Non Sampled Ancestor Model
48,0,0.1,0.262421051286,Non Sampled Ancestor Model
49,0,0.1,0.264929146597,Non Sampled Ancestor Model
0,0,0.15,0.497720527324,Non Sampled Ancestor Model
1,0,0.15,0.523454727643,Non Sampled Ancestor Model
2,0,0.15,0.524162091622,Non Sampled Ancestor Model
3,0,0.15,0.5488308017010001,Non Sampled Ancestor Model
4,0,0.15,0.529940406412,Non Sampled Ancestor Model
5,0,0.15,0.527378504872,Non Sampled Ancestor Model
6,0,0.15,0.543879097198,Non Sampled Ancestor Model
