Tru,Turnover,ident
0.15,0.30154881,Sampled Ancestor Model
0.15,0.30545701,Sampled Ancestor Model
0.15,0.307651378,Sampled Ancestor Model
0.15,0.302733265,Sampled Ancestor Model
0.15,0.301615409,Sampled Ancestor Model
0.15,0.303263098,Sampled Ancestor Model
0.15,0.306785223,Sampled Ancestor Model
0.15,0.304905206,Sampled Ancestor Model
0.15,0.298295149,Sampled Ancestor Model
0.15,0.310019583,Sampled Ancestor Model
0.15,0.302660282,Sampled Ancestor Model
0.15,0.304685439,Sampled Ancestor Model
0.15,0.305348709,Sampled Ancestor Model
0.15,0.306846263,Sampled Ancestor Model
0.15,0.301253746,Sampled Ancestor Model
0.15,0.30816025,Sampled Ancestor Model
0.15,0.305477767,Sampled Ancestor Model
0.15,0.304067658,Sampled Ancestor Model
0.15,0.306720577,Sampled Ancestor Model
0.15,0.305383237,Sampled Ancestor Model
0.15,0.308851343,Sampled Ancestor Model
0.15,0.312547659,Sampled Ancestor Model
0.15,0.295280856,Sampled Ancestor Model
0.15,0.31170893,Sampled Ancestor Model
0.15,0.302440303,Sampled Ancestor Model
0.15,0.311268034,Sampled Ancestor Model
0.15,0.301883291,Sampled Ancestor Model
0.15,0.30402206,Sampled Ancestor Model
0.15,0.301292001,Sampled Ancestor Model
0.15,0.30307647,Sampled Ancestor Model
0.15,0.300731021,Sampled Ancestor Model
0.15,0.302859155,Sampled Ancestor Model
0.15,0.293285128,Sampled Ancestor Model
0.15,0.298743894,Sampled Ancestor Model
0.15,0.304178543,Sampled Ancestor Model
0.15,0.30368701,Sampled Ancestor Model
0.15,0.309380891,Sampled Ancestor Model
0.15,0.306615079,Sampled Ancestor Model
0.15,0.30341119,Sampled Ancestor Model
0.15,0.311981732,Sampled Ancestor Model
0.15,0.303738428,Sampled Ancestor Model
0.15,0.199553901,Sampled Ancestor Model
0.15,0.205716073,Sampled Ancestor Model
0.15,0.203517018,Sampled Ancestor Model
0.15,0.1948632,Sampled Ancestor Model
0.15,0.203585195,Sampled Ancestor Model
0.15,0.202139483,Sampled Ancestor Model
0.15,0.204726902,Sampled Ancestor Model
0.15,0.194727536,Sampled Ancestor Model
0.15,0.204018003,Sampled Ancestor Model
0.15,0.202361272,Sampled Ancestor Model
0.15,0.196015103,Sampled Ancestor Model
0.15,0.199503997,Sampled Ancestor Model
0.15,0.197122245,Sampled Ancestor Model
0.15,0.199150411,Sampled Ancestor Model
0.15,0.200939809,Sampled Ancestor Model
0.15,0.202215355,Sampled Ancestor Model
0.15,0.201535681,Sampled Ancestor Model
0.15,0.207184328,Sampled Ancestor Model
0.15,0.209392065,Sampled Ancestor Model
0.15,0.199598437,Sampled Ancestor Model
0.15,0.198588179,Sampled Ancestor Model
0.15,0.200241442,Sampled Ancestor Model
0.15,0.212137,Sampled Ancestor Model
0.15,0.202105746,Sampled Ancestor Model
0.15,0.202417804,Sampled Ancestor Model
0.15,0.201856543,Sampled Ancestor Model
0.15,0.197859743,Sampled Ancestor Model
0.15,0.197772047,Sampled Ancestor Model
0.15,0.201595264,Sampled Ancestor Model
0.15,0.197128615,Sampled Ancestor Model
0.15,0.195026693,Sampled Ancestor Model
0.15,0.194049946,Sampled Ancestor Model
0.15,0.196134414,Sampled Ancestor Model
0.15,0.198598508,Sampled Ancestor Model
0.15,0.196681481,Sampled Ancestor Model
0.15,0.198834316,Sampled Ancestor Model
0.15,0.200284726,Sampled Ancestor Model
0.15,0.198959119,Sampled Ancestor Model
0.15,0.202974865,Sampled Ancestor Model
0.15,0.194429732,Sampled Ancestor Model
0.15,0.201860069,Sampled Ancestor Model
0.15,0.196755669,Sampled Ancestor Model
0.15,0.193084238,Sampled Ancestor Model
0.15,0.201587834,Sampled Ancestor Model
0.15,0.204941285,Sampled Ancestor Model
0.15,0.204416531,Sampled Ancestor Model
0.15,0.203859693,Sampled Ancestor Model
0.15,0.192941614,Sampled Ancestor Model
0.15,0.204952509,Sampled Ancestor Model
0.3,0.325192378,Sampled Ancestor Model
0.3,0.320421803,Sampled Ancestor Model
0.3,0.325522228,Sampled Ancestor Model
0.3,0.338919429,Sampled Ancestor Model
0.3,0.328761586,Sampled Ancestor Model
