Tru,Turnover,ident
0.3,0.327160602,Sampled Ancestor Model
0.3,0.329878868,Sampled Ancestor Model
0.3,0.329094195,Sampled Ancestor Model
0.3,0.328754329,Sampled Ancestor Model
0.3,0.32732542,Sampled Ancestor Model
0.3,0.332864436,Sampled Ancestor Model
0.3,0.330316171,Sampled Ancestor Model
0.3,0.315682847,Sampled Ancestor Model
0.3,0.32299329,Sampled Ancestor Model
0.3,0.318512115,Sampled Ancestor Model
0.3,0.325419493,Sampled Ancestor Model
0.3,0.283193832,Sampled Ancestor Model
0.3,0.320330156,Sampled Ancestor Model
0.3,0.328312524,Sampled Ancestor Model
0.3,0.329186573,Sampled Ancestor Model
0.3,0.334624363,Sampled Ancestor Model
0.3,0.327813213,Sampled Ancestor Model
0.3,0.318017765,Sampled Ancestor Model
0.3,0.322207555,Sampled Ancestor Model
0.3,0.319558606,Sampled Ancestor Model
0.3,0.330711498,Sampled Ancestor Model
0.3,0.321648865,Sampled Ancestor Model
0.3,0.332251632,Sampled Ancestor Model
0.3,0.340078823,Sampled Ancestor Model
0.3,0.334624739,Sampled Ancestor Model
0.3,0.331954966,Sampled Ancestor Model
0.3,0.329763828,Sampled Ancestor Model
0.3,0.320316548,Sampled Ancestor Model
0.3,0.32240836,Sampled Ancestor Model
0.3,0.328092633,Sampled Ancestor Model
0.3,0.322626269,Sampled Ancestor Model
0.3,0.323779965,Sampled Ancestor Model
0.3,0.325632519,Sampled Ancestor Model
0.3,0.327876504,Sampled Ancestor Model
0.3,0.343702291,Sampled Ancestor Model
0.3,0.318288778,Sampled Ancestor Model
0.3,0.319262453,Sampled Ancestor Model
0.3,0.332749023,Sampled Ancestor Model
0.3,0.328092633,Sampled Ancestor Model
0.3,0.328451739,Sampled Ancestor Model
0.3,0.326822034,Sampled Ancestor Model
0.3,0.329035276,Sampled Ancestor Model
0.3,0.324352216,Sampled Ancestor Model
0.3,0.331886972,Sampled Ancestor Model
0.3,0.326617098,Sampled Ancestor Model
0.3,0.323616553,Sampled Ancestor Model
0.3,0.326122025,Sampled Ancestor Model
0.3,0.321319684,Sampled Ancestor Model
0.3,0.324886834,Sampled Ancestor Model
0.3,0.321008112,Sampled Ancestor Model
0.3,0.321372414,Sampled Ancestor Model
0.3,0.32632121,Sampled Ancestor Model
0.3,0.330171251,Sampled Ancestor Model
0.3,0.331724375,Sampled Ancestor Model
0.3,0.331042067,Sampled Ancestor Model
0.3,0.331862767,Sampled Ancestor Model
0.3,0.3268307,Sampled Ancestor Model
0.3,0.323666948,Sampled Ancestor Model
0.3,0.318534821,Sampled Ancestor Model
0.3,0.320117857,Sampled Ancestor Model
0.3,0.324701398,Sampled Ancestor Model
0.3,0.326233046,Sampled Ancestor Model
0.3,0.325012938,Sampled Ancestor Model
0.3,0.323209204,Sampled Ancestor Model
0.3,0.324230098,Sampled Ancestor Model
0.3,0.326950939,Sampled Ancestor Model
0.3,0.319803164,Sampled Ancestor Model
0.3,0.325093243,Sampled Ancestor Model
0.3,0.323623238,Sampled Ancestor Model
0.3,0.325673201,Sampled Ancestor Model
0.3,0.319090152,Sampled Ancestor Model
0.3,0.32419018,Sampled Ancestor Model
0.3,0.327772338,Sampled Ancestor Model
0.3,0.325008975,Sampled Ancestor Model
0.3,0.326309546,Sampled Ancestor Model
0.3,0.334187305,Sampled Ancestor Model
0.3,0.322064112,Sampled Ancestor Model
0.3,0.336262067,Sampled Ancestor Model
0.3,0.336631562,Sampled Ancestor Model
0.3,0.328255399,Sampled Ancestor Model
0.3,0.327554684,Sampled Ancestor Model
0.3,0.319436238,Sampled Ancestor Model
0.3,0.336917381,Sampled Ancestor Model
0.3,0.320023138,Sampled Ancestor Model
0.3,0.341950809,Sampled Ancestor Model
0.3,0.328598039,Sampled Ancestor Model
0.3,0.330512398,Sampled Ancestor Model
0.3,0.334250908,Sampled Ancestor Model
0.3,0.330530343,Sampled Ancestor Model
0.35,0.365686037,Sampled Ancestor Model
0.35,0.349408422,Sampled Ancestor Model
0.35,0.371639503,Sampled Ancestor Model
0.35,0.359539656,Sampled Ancestor Model
0.35,0.370776593,Sampled Ancestor Model
0.35,0.368497383,Sampled Ancestor Model
0.35,0.362336212,Sampled Ancestor Model
0.35,0.353706641,Sampled Ancestor Model
0.35,0.355370394,Sampled Ancestor Model
0.35,0.365656554,Sampled Ancestor Model
0.35,0.369941108,Sampled Ancestor Model
0.35,0.368769921,Sampled Ancestor Model
0.35,0.371952541,Sampled Ancestor Model
0.35,0.370102162,Sampled Ancestor Model
0.35,0.367976161,Sampled Ancestor Model
0.35,0.363511788,Sampled Ancestor Model
0.35,0.36194833,Sampled Ancestor Model
0.35,0.366545805,Sampled Ancestor Model
0.35,0.355759169,Sampled Ancestor Model
0.35,0.37068979,Sampled Ancestor Model
0.35,0.362871112,Sampled Ancestor Model
0.35,0.370512422,Sampled Ancestor Model
0.35,0.368761102,Sampled Ancestor Model
0.35,0.358115792,Sampled Ancestor Model
0.35,0.363364429,Sampled Ancestor Model
0.35,0.358965328,Sampled Ancestor Model
0.35,0.365859118,Sampled Ancestor Model
0.35,0.370261891,Sampled Ancestor Model
0.35,0.367319178,Sampled Ancestor Model
0.35,0.373636696,Sampled Ancestor Model
0.35,0.387590558,Sampled Ancestor Model
0.35,0.366264372,Sampled Ancestor Model
0.35,0.362295544,Sampled Ancestor Model
0.35,0.354631792,Sampled Ancestor Model
0.35,0.362457189,Sampled Ancestor Model
0.35,0.367809263,Sampled Ancestor Model
0.35,0.355544921,Sampled Ancestor Model
0.35,0.36588524,Sampled Ancestor Model
0.35,0.372995973,Sampled Ancestor Model
0.35,0.373312884,Sampled Ancestor Model
0.35,0.358620292,Sampled Ancestor Model
0.35,0.351479629,Sampled Ancestor Model
0.35,0.360641607,Sampled Ancestor Model
0.35,0.368223072,Sampled Ancestor Model
0.35,0.35677415,Sampled Ancestor Model
0.35,0.362318845,Sampled Ancestor Model
0.35,0.355090867,Sampled Ancestor Model
0.35,0.366380711,Sampled Ancestor Model
0.35,0.350876347,Sampled Ancestor Model
0.35,0.361771697,Sampled Ancestor Model
0.4,0.360666073,Sampled Ancestor Model
0.4,0.347506243,Sampled Ancestor Model
0.4,0.348976089,Sampled Ancestor Model
0.4,0.351342646,Sampled Ancestor Model
0.4,0.35792254,Sampled Ancestor Model
0.4,0.344528703,Sampled Ancestor Model
0.4,0.355206094,Sampled Ancestor Model
0.4,0.367117559,Sampled Ancestor Model
0.4,0.362227744,Sampled Ancestor Model
0.4,0.363900568,Sampled Ancestor Model
0.4,0.357941446,Sampled Ancestor Model
0.4,0.356098031,Sampled Ancestor Model
0.4,0.364092614,Sampled Ancestor Model
0.4,0.355402263,Sampled Ancestor Model
0.4,0.354006785,Sampled Ancestor Model
0.4,0.353970114,Sampled Ancestor Model
0.4,0.358157793,Sampled Ancestor Model
0.4,0.357942832,Sampled Ancestor Model
0.4,0.35846618,Sampled Ancestor Model
0.4,0.366349202,Sampled Ancestor Model
0.4,0.355314575,Sampled Ancestor Model
0.4,0.361512523,Sampled Ancestor Model
0.4,0.354492669,Sampled Ancestor Model
0.4,0.357342159,Sampled Ancestor Model
0.4,0.364950945,Sampled Ancestor Model
0.4,0.34175223,Sampled Ancestor Model
0.4,0.365370396,Sampled Ancestor Model
0.4,0.350207384,Sampled Ancestor Model
0.4,0.342133512,Sampled Ancestor Model
0.4,0.361477818,Sampled Ancestor Model
0.4,0.358493972,Sampled Ancestor Model
0.4,0.364667429,Sampled Ancestor Model
0.4,0.357602262,Sampled Ancestor Model
0.4,0.352505317,Sampled Ancestor Model
0.4,0.355106071,Sampled Ancestor Model
0.4,0.354946597,Sampled Ancestor Model
0.4,0.359873959,Sampled Ancestor Model
0.4,0.348459483,Sampled Ancestor Model
0.4,0.360459061,Sampled Ancestor Model
0.4,0.351145097,Sampled Ancestor Model
0.4,0.365103422,Sampled Ancestor Model
0.4,0.357478903,Sampled Ancestor Model
0.4,0.364096666,Sampled Ancestor Model
0.4,0.361865112,Sampled Ancestor Model
0.4,0.356510642,Sampled Ancestor Model
0.4,0.361118895,Sampled Ancestor Model
0.45,0.475829921,Sampled Ancestor Model
0.45,0.479550521,Sampled Ancestor Model
0.45,0.471152617,Sampled Ancestor Model
0.45,0.482931062,Sampled Ancestor Model
0.45,0.468275413,Sampled Ancestor Model
0.45,0.48603825,Sampled Ancestor Model
0.45,0.479970964,Sampled Ancestor Model
0.45,0.477247445,Sampled Ancestor Model
0.45,0.481449399,Sampled Ancestor Model
0.45,0.486878499,Sampled Ancestor Model
0.45,0.471901155,Sampled Ancestor Model
0.45,0.470120976,Sampled Ancestor Model
0.45,0.482714225,Sampled Ancestor Model
0.45,0.475555355,Sampled Ancestor Model
0.45,0.479879314,Sampled Ancestor Model
0.45,0.466239053,Sampled Ancestor Model
0.45,0.481365178,Sampled Ancestor Model
0.45,0.470416568,Sampled Ancestor Model
0.45,0.466401967,Sampled Ancestor Model
0.45,0.458278654,Sampled Ancestor Model
0.45,0.47587018,Sampled Ancestor Model
0.45,0.474271474,Sampled Ancestor Model
0.45,0.478876291,Sampled Ancestor Model
0.45,0.47784822,Sampled Ancestor Model
0.45,0.472542045,Sampled Ancestor Model
0.45,0.468006765,Sampled Ancestor Model
0.45,0.475338447,Sampled Ancestor Model
0.45,0.478613177,Sampled Ancestor Model
0.45,0.476981511,Sampled Ancestor Model
