,Ind,Tru,Sampled Ancestors Turnover,ident
6,0,3.519,4.37177564885,Sampled Ancestor Model
7,0,3.519,4.35007053932,Sampled Ancestor Model
8,0,3.519,4.39367153032,Sampled Ancestor Model
9,0,3.519,4.41788104781,Sampled Ancestor Model
10,0,3.519,3.40631791361,Sampled Ancestor Model
11,0,3.519,4.41686497053,Sampled Ancestor Model
12,0,3.519,4.46750424864,Sampled Ancestor Model
13,0,3.519,4.36778874489,Sampled Ancestor Model
14,0,3.519,4.39112485226,Sampled Ancestor Model
15,0,3.519,4.36997555099,Sampled Ancestor Model
16,0,3.519,4.42791311174,Sampled Ancestor Model
17,0,3.519,4.41437182608,Sampled Ancestor Model
18,0,3.519,4.38624637246,Sampled Ancestor Model
19,0,3.519,4.43549491026,Sampled Ancestor Model
20,0,3.519,4.42450663523,Sampled Ancestor Model
21,0,3.519,4.42529082576,Sampled Ancestor Model
22,0,3.519,4.42282179397,Sampled Ancestor Model
23,0,3.519,4.38759929507,Sampled Ancestor Model
24,0,3.519,4.38026725167,Sampled Ancestor Model
25,0,3.519,4.41750144346,Sampled Ancestor Model
26,0,3.519,4.40285369129,Sampled Ancestor Model
27,0,3.519,4.33405968335,Sampled Ancestor Model
28,0,3.519,4.45250257379,Sampled Ancestor Model
29,0,3.519,3.14915513581,Sampled Ancestor Model
30,0,3.519,4.4456513368,Sampled Ancestor Model
31,0,3.519,4.41483418791,Sampled Ancestor Model
32,0,3.519,4.39943175613,Sampled Ancestor Model
33,0,3.519,4.39610675922,Sampled Ancestor Model
34,0,3.519,4.37116595517,Sampled Ancestor Model
35,0,3.519,4.39284895993,Sampled Ancestor Model
36,0,3.519,4.39434107197,Sampled Ancestor Model
37,0,3.519,4.36860870991,Sampled Ancestor Model
38,0,3.519,4.3863782049,Sampled Ancestor Model
39,0,3.519,4.35504815952,Sampled Ancestor Model
40,0,3.519,4.44574941659,Sampled Ancestor Model
41,0,3.519,4.36129942008,Sampled Ancestor Model
42,0,3.519,4.39556280601,Sampled Ancestor Model
43,0,3.519,4.38100893346,Sampled Ancestor Model
44,0,3.519,4.35869465927,Sampled Ancestor Model
45,0,3.519,4.38234744186,Sampled Ancestor Model
0,0,8.17,8.26270209524,Sampled Ancestor Model
1,0,8.17,8.23634978922,Sampled Ancestor Model
2,0,8.17,8.15186992973,Sampled Ancestor Model
3,0,8.17,8.20958605735,Sampled Ancestor Model
4,0,8.17,8.21819531418,Sampled Ancestor Model
5,0,8.17,8.24935260358,Sampled Ancestor Model
6,0,8.17,8.16921794845,Sampled Ancestor Model
7,0,8.17,8.21904815579,Sampled Ancestor Model
8,0,8.17,8.20410264436,Sampled Ancestor Model
9,0,8.17,8.24830823767,Sampled Ancestor Model
10,0,8.17,8.20072191468,Sampled Ancestor Model
11,0,8.17,8.20704169226,Sampled Ancestor Model
12,0,8.17,8.20999602342,Sampled Ancestor Model
13,0,8.17,8.16774070579,Sampled Ancestor Model
14,0,8.17,8.21366123712,Sampled Ancestor Model
15,0,8.17,8.26350828086,Sampled Ancestor Model
16,0,8.17,8.21098033286,Sampled Ancestor Model
17,0,8.17,8.24946489759,Sampled Ancestor Model
18,0,8.17,8.21079430632,Sampled Ancestor Model
19,0,8.17,8.2177546001,Sampled Ancestor Model
20,0,8.17,8.19856067674,Sampled Ancestor Model
21,0,8.17,8.17839657539,Sampled Ancestor Model
22,0,8.17,8.20567847365,Sampled Ancestor Model
23,0,8.17,8.15522868679,Sampled Ancestor Model
24,0,8.17,8.17913189793,Sampled Ancestor Model
25,0,8.17,8.21465981013,Sampled Ancestor Model
26,0,8.17,8.22655474833,Sampled Ancestor Model
27,0,8.17,8.19337363883,Sampled Ancestor Model
28,0,8.17,8.17299395871,Sampled Ancestor Model
29,0,8.17,8.18308807307,Sampled Ancestor Model
30,0,8.17,8.19133205882,Sampled Ancestor Model
31,0,8.17,8.21343761159,Sampled Ancestor Model
32,0,8.17,8.20366540668,Sampled Ancestor Model
33,0,8.17,8.25094324015,Sampled Ancestor Model
34,0,8.17,8.23428851493,Sampled Ancestor Model
35,0,8.17,8.22279867822,Sampled Ancestor Model
36,0,8.17,8.23733283214,Sampled Ancestor Model
37,0,8.17,8.19546303332,Sampled Ancestor Model
38,0,8.17,8.1552736387,Sampled Ancestor Model
39,0,8.17,8.18758205665,Sampled Ancestor Model
40,0,8.17,8.28820301916,Sampled Ancestor Model
41,0,8.17,8.16357904004,Sampled Ancestor Model
42,0,8.17,8.17571307333,Sampled Ancestor Model
43,0,8.17,8.21330841688,Sampled Ancestor Model
44,0,8.17,8.22365392805,Sampled Ancestor Model
45,0,8.17,8.18621337549,Sampled Ancestor Model
46,0,8.17,8.24279190135,Sampled Ancestor Model
47,0,8.17,8.16630989338,Sampled Ancestor Model
48,0,8.17,8.19471342775,Sampled Ancestor Model
49,0,8.17,8.1646241069,Sampled Ancestor Model
0,0,4.86,5.4290898749,Sampled Ancestor Model
1,0,4.86,5.26324035672,Sampled Ancestor Model
