,Ind,Tru,No Sampled Ancestors Turnover,ident
45,0,7.43,10.3032175098,Non Sampled Ancestor Model
46,0,7.43,8.83156278457,Non Sampled Ancestor Model
47,0,7.43,8.94429248392,Non Sampled Ancestor Model
48,0,7.43,9.81970167143,Non Sampled Ancestor Model
49,0,7.43,9.04994787334,Non Sampled Ancestor Model
0,0,16.795,19.0637294035,Non Sampled Ancestor Model
1,0,16.795,20.4746692804,Non Sampled Ancestor Model
2,0,16.795,19.2641304428,Non Sampled Ancestor Model
3,0,16.795,18.5774156572,Non Sampled Ancestor Model
4,0,16.795,19.2572227972,Non Sampled Ancestor Model
5,0,16.795,21.4922930839,Non Sampled Ancestor Model
6,0,16.795,17.8798912007,Non Sampled Ancestor Model
7,0,16.795,19.7004333963,Non Sampled Ancestor Model
8,0,16.795,18.7195832278,Non Sampled Ancestor Model
9,0,16.795,21.1221609137,Non Sampled Ancestor Model
10,0,16.795,19.2769339597,Non Sampled Ancestor Model
11,0,16.795,23.9721175689,Non Sampled Ancestor Model
12,0,16.795,20.6910315486,Non Sampled Ancestor Model
13,0,16.795,19.7318042876,Non Sampled Ancestor Model
14,0,16.795,21.0008906953,Non Sampled Ancestor Model
15,0,16.795,17.9045202601,Non Sampled Ancestor Model
16,0,16.795,20.6167393662,Non Sampled Ancestor Model
17,0,16.795,20.0164328164,Non Sampled Ancestor Model
18,0,16.795,19.7299035649,Non Sampled Ancestor Model
19,0,16.795,22.2768914361,Non Sampled Ancestor Model
20,0,16.795,25.3968274608,Non Sampled Ancestor Model
21,0,16.795,20.1356256977,Non Sampled Ancestor Model
22,0,16.795,29.0311104681,Non Sampled Ancestor Model
23,0,16.795,30.4132799963,Non Sampled Ancestor Model
24,0,16.795,20.6658174638,Non Sampled Ancestor Model
25,0,16.795,21.2597865111,Non Sampled Ancestor Model
26,0,16.795,19.9509623832,Non Sampled Ancestor Model
27,0,16.795,20.2461037717,Non Sampled Ancestor Model
28,0,16.795,19.222333556,Non Sampled Ancestor Model
29,0,16.795,18.5963506555,Non Sampled Ancestor Model
30,0,16.795,22.2021916586,Non Sampled Ancestor Model
31,0,16.795,21.8230052572,Non Sampled Ancestor Model
32,0,16.795,21.2825127507,Non Sampled Ancestor Model
33,0,16.795,20.3474477706,Non Sampled Ancestor Model
34,0,16.795,26.1055452574,Non Sampled Ancestor Model
35,0,16.795,21.2348241055,Non Sampled Ancestor Model
36,0,16.795,20.2968284345,Non Sampled Ancestor Model
37,0,16.795,21.3767685623,Non Sampled Ancestor Model
38,0,16.795,19.3025010783,Non Sampled Ancestor Model
39,0,16.795,16.9233252767,Non Sampled Ancestor Model
40,0,16.795,42.0289449122,Non Sampled Ancestor Model
41,0,16.795,21.7468784487,Non Sampled Ancestor Model
42,0,16.795,32.017807922,Non Sampled Ancestor Model
43,0,16.795,33.6125312449,Non Sampled Ancestor Model
44,0,16.795,18.7563175027,Non Sampled Ancestor Model
45,0,16.795,20.1129574464,Non Sampled Ancestor Model
46,0,16.795,22.8031970119,Non Sampled Ancestor Model
47,0,16.795,21.7566370217,Non Sampled Ancestor Model
48,0,16.795,19.0916879816,Non Sampled Ancestor Model
49,0,16.795,20.9996899019,Non Sampled Ancestor Model
50,0,16.795,22.064422166,Non Sampled Ancestor Model
0,0,14.16,15.3168465421,Non Sampled Ancestor Model
1,0,14.16,19.2517557681,Non Sampled Ancestor Model
2,0,14.16,17.1963996994,Non Sampled Ancestor Model
3,0,14.16,20.4002122569,Non Sampled Ancestor Model
4,0,14.16,16.0723250384,Non Sampled Ancestor Model
5,0,14.16,18.8752163916,Non Sampled Ancestor Model
6,0,14.16,32.4702011249,Non Sampled Ancestor Model
7,0,14.16,15.2908051515,Non Sampled Ancestor Model
8,0,14.16,18.3143874037,Non Sampled Ancestor Model
9,0,14.16,16.1089283657,Non Sampled Ancestor Model
10,0,14.16,15.9800144276,Non Sampled Ancestor Model
11,0,14.16,16.5855636822,Non Sampled Ancestor Model
12,0,14.16,19.4522948751,Non Sampled Ancestor Model
13,0,14.16,14.9967587024,Non Sampled Ancestor Model
14,0,14.16,21.9657093321,Non Sampled Ancestor Model
15,0,14.16,21.3902633303,Non Sampled Ancestor Model
16,0,14.16,16.2976080241,Non Sampled Ancestor Model
17,0,14.16,15.3387865468,Non Sampled Ancestor Model
18,0,14.16,19.1237408472,Non Sampled Ancestor Model
19,0,14.16,20.2264854092,Non Sampled Ancestor Model
20,0,14.16,17.8848062286,Non Sampled Ancestor Model
21,0,14.16,19.0191957282,Non Sampled Ancestor Model
22,0,14.16,17.9823696539,Non Sampled Ancestor Model
23,0,14.16,23.0145541512,Non Sampled Ancestor Model
24,0,14.16,19.9804064452,Non Sampled Ancestor Model
25,0,14.16,17.4139449792,Non Sampled Ancestor Model
26,0,14.16,17.7292185698,Non Sampled Ancestor Model
27,0,14.16,17.987282097,Non Sampled Ancestor Model
28,0,14.16,17.1447576042,Non Sampled Ancestor Model
29,0,14.16,15.1963667242,Non Sampled Ancestor Model
30,0,14.16,15.3601406871,Non Sampled Ancestor Model
31,0,14.16,26.9091171891,Non Sampled Ancestor Model
32,0,14.16,15.0234855837,Non Sampled Ancestor Model
33,0,14.16,15.1259894993,Non Sampled Ancestor Model
34,0,14.16,15.475730439,Non Sampled Ancestor Model
35,0,14.16,16.10299657,Non Sampled Ancestor Model
36,0,14.16,15.3404120947,Non Sampled Ancestor Model
37,0,14.16,16.3389010306,Non Sampled Ancestor Model
38,0,14.16,19.5293552406,Non Sampled Ancestor Model
39,0,14.16,18.389084826,Non Sampled Ancestor Model
40,0,14.16,15.2203962334,Non Sampled Ancestor Model
41,0,14.16,19.529359099,Non Sampled Ancestor Model
42,0,14.16,23.2715680056,Non Sampled Ancestor Model
43,0,14.16,19.474609196,Non Sampled Ancestor Model
44,0,14.16,19.0012688453,Non Sampled Ancestor Model
45,0,14.16,19.1950851785,Non Sampled Ancestor Model
46,0,14.16,17.7185658604,Non Sampled Ancestor Model
47,0,14.16,15.5733240052,Non Sampled Ancestor Model
48,0,14.16,18.3305714315,Non Sampled Ancestor Model
0,0,5.92,6.54543481707,Non Sampled Ancestor Model
1,0,5.92,7.80986917838,Non Sampled Ancestor Model
2,0,5.92,7.37751385626,Non Sampled Ancestor Model
